accuracy,loss,val_accuracy,val_loss,learning_rate,epoch
0.74609375,1.0073816776275635,0.25,2.107919931411743,0.0010000000474974513,1
0.94140625,0.42777013778686523,0.25,2.9460151195526123,0.0010000000474974513,2
0.97265625,0.3487522304058075,0.28125,3.303633213043213,0.0010000000474974513,3
0.9765625,0.3245413899421692,0.359375,3.3704326152801514,0.0010000000474974513,4
0.9856770634651184,0.3041965663433075,0.296875,3.6662209033966064,0.0010000000474974513,5
0.9869791865348816,0.2871263027191162,0.390625,2.979708671569824,0.00010000000474974513,6
0.9895833134651184,0.26793622970581055,0.484375,2.206373453140259,0.00010000000474974513,7
0.9921875,0.2748582065105438,0.609375,1.4286305904388428,0.00010000000474974513,8
0.9934895634651184,0.26291969418525696,0.6875,0.8901887536048889,0.00010000000474974513,9
0.9986979365348816,0.2547968924045563,0.875,0.6193000674247742,0.00010000000474974513,10
0.9973958134651184,0.2513008713722229,0.921875,0.4817931354045868,0.00010000000474974513,11
0.9895833134651184,0.26685938239097595,0.921875,0.44370537996292114,0.00010000000474974513,12
0.98828125,0.28409335017204285,0.953125,0.37569284439086914,0.00010000000474974513,13
0.9895833134651184,0.25819864869117737,0.953125,0.36293911933898926,0.00010000000474974513,14
0.9947916865348816,0.24800164997577667,0.96875,0.3326459228992462,0.00010000000474974513,15
0.9934895634651184,0.25915461778640747,0.96875,0.32090508937835693,0.00010000000474974513,16
0.9921875,0.24639643728733063,0.96875,0.32483747601509094,0.00010000000474974513,17
0.9973958134651184,0.24657315015792847,0.96875,0.31176283955574036,0.00010000000474974513,18
0.9947916865348816,0.25506243109703064,0.96875,0.3357524573802948,0.00010000000474974513,19
0.9908854365348816,0.25658079981803894,0.96875,0.3443346917629242,0.00010000000474974513,20
0.9921875,0.2479424923658371,0.96875,0.3305342197418213,0.00010000000474974513,21
0.9908854365348816,0.2566547095775604,0.96875,0.30993980169296265,0.00010000000474974513,22
0.9934895634651184,0.24649488925933838,0.984375,0.30045047402381897,0.00010000000474974513,23
0.9973958134651184,0.23310522735118866,0.984375,0.3066510558128357,0.00010000000474974513,24
0.9947916865348816,0.24106375873088837,0.984375,0.28526487946510315,0.00010000000474974513,25
0.9973958134651184,0.23306657373905182,0.984375,0.2879137694835663,0.00010000000474974513,26
0.9973958134651184,0.2324414700269699,0.984375,0.28634312748908997,0.00010000000474974513,27
0.9947916865348816,0.23851697146892548,0.984375,0.29793649911880493,0.00010000000474974513,28
1.0,0.22248642146587372,0.984375,0.2964504361152649,0.00010000000474974513,29
0.9947916865348816,0.23622167110443115,0.984375,0.293974906206131,1.0000000656873453e-05,30
0.99609375,0.23007313907146454,0.984375,0.29220205545425415,1.0000000656873453e-05,31
0.9986979365348816,0.22537720203399658,0.984375,0.29457345604896545,1.0000000656873453e-05,32
0.99609375,0.22948431968688965,0.984375,0.29431045055389404,1.0000000656873453e-05,33
